"Snowflake Function","Postgresql Function","Replica Emulation","Notes"
`GET_IGNORE_CASE <https://docs.snowflake.net/manuals/sql-reference/functions/get_ignore_case.html>`__,not supported,not supported,""
`GET_OBJECT_REFERENCES <https://docs.snowflake.net/manuals/sql-reference/functions/get_object_references.html>`__,not supported,not supported,""
`GET_PATH <https://docs.snowflake.net/manuals/sql-reference/functions/get_path.html>`__,not supported,not supported,""
`GREATEST <https://docs.snowflake.net/manuals/sql-reference/functions/greatest.html>`__,not supported,not supported,""
`GROUP BY <https://docs.snowflake.net/manuals/sql-reference/constructs/group-by.html>`__,not supported,not supported,""
`GROUPING <https://docs.snowflake.net/manuals/sql-reference/functions/grouping.html>`__,`GROUPING <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`GROUPING_ID <https://docs.snowflake.net/manuals/sql-reference/functions/grouping_id.html>`__,not supported,not supported,""
`HASH <https://docs.snowflake.net/manuals/sql-reference/functions/hash.html>`__,not supported,not supported,""
`HASH_AGG <https://docs.snowflake.net/manuals/sql-reference/functions/hash_agg.html>`__,not supported,not supported,""
`HAVERSINE <https://docs.snowflake.net/manuals/sql-reference/functions/haversine.html>`__,not supported,not supported,""
`HEX_DECODE_BINARY <https://docs.snowflake.net/manuals/sql-reference/functions/hex_decode_binary.html>`__,not supported,not supported,""
`HEX_DECODE_STRING <https://docs.snowflake.net/manuals/sql-reference/functions/hex_decode_string.html>`__,not supported,not supported,""
`HEX_ENCODE <https://docs.snowflake.net/manuals/sql-reference/functions/hex_encode.html>`__,not supported,not supported,""
`HLL <https://docs.snowflake.net/manuals/sql-reference/functions/hll.html>`__,not supported,not supported,""
`HLL_ACCUMULATE <https://docs.snowflake.net/manuals/sql-reference/functions/hll_accumulate.html>`__,not supported,not supported,""
`HLL_COMBINE <https://docs.snowflake.net/manuals/sql-reference/functions/hll_combine.html>`__,not supported,not supported,""
`HLL_ESTIMATE <https://docs.snowflake.net/manuals/sql-reference/functions/hll_estimate.html>`__,not supported,not supported,""
`HLL_EXPORT <https://docs.snowflake.net/manuals/sql-reference/functions/hll_export.html>`__,not supported,not supported,""
`HLL_IMPORT <https://docs.snowflake.net/manuals/sql-reference/functions/hll_import.html>`__,not supported,not supported,""
`HOUR / MINUTE / SECOND <https://docs.snowflake.net/manuals/sql-reference/functions/hour-minute-second.html>`__,not supported,not supported,""
`IFF <https://docs.snowflake.net/manuals/sql-reference/functions/iff.html>`__,not supported,not supported,""
`IFNULL <https://docs.snowflake.net/manuals/sql-reference/functions/ifnull.html>`__,not supported,not supported,""
`ILIKE <https://docs.snowflake.net/manuals/sql-reference/functions/ilike.html>`__,not supported,not supported,""
`ILIKE ANY <https://docs.snowflake.net/manuals/sql-reference/functions/ilike_any.html>`__,not supported,not supported,""
`IN <https://docs.snowflake.net/manuals/sql-reference/functions/in.html>`__,not supported,not supported,""
`INITCAP <https://docs.snowflake.net/manuals/sql-reference/functions/initcap.html>`__,`INITCAP <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`INSERT <https://docs.snowflake.net/manuals/sql-reference/functions/insert.html>`__,`INSERT <https://www.postgresql.org/docs/current/sql-insert.html>`__,not supported,""
`IS  DISTINCT FROM <https://docs.snowflake.net/manuals/sql-reference/functions/is-distinct-from.html>`__,not supported,not supported,""
`IS  NULL <https://docs.snowflake.net/manuals/sql-reference/functions/is-null.html>`__,not supported,not supported,""
`IS_<OBJECT_TYPE> <https://docs.snowflake.net/manuals/sql-reference/functions/is.html>`__,not supported,not supported,""
`IS_ARRAY <https://docs.snowflake.net/manuals/sql-reference/functions/is_array.html>`__,not supported,not supported,""
`IS_BINARY <https://docs.snowflake.net/manuals/sql-reference/functions/is_binary.html>`__,not supported,not supported,""
`IS_BOOLEAN <https://docs.snowflake.net/manuals/sql-reference/functions/is_boolean.html>`__,not supported,not supported,""
`IS_CHAR <https://docs.snowflake.net/manuals/sql-reference/functions/is_char-varchar.html>`__,not supported,not supported,""
`IS_DATE <https://docs.snowflake.net/manuals/sql-reference/functions/is_date-value.html>`__,not supported,not supported,""
`IS_DATE_VALUE <https://docs.snowflake.net/manuals/sql-reference/functions/is_date-value.html>`__,not supported,not supported,""
`IS_DECIMAL <https://docs.snowflake.net/manuals/sql-reference/functions/is_decimal.html>`__,not supported,not supported,""
`IS_DOUBLE <https://docs.snowflake.net/manuals/sql-reference/functions/is_double-real.html>`__,not supported,not supported,""
`IS_INTEGER <https://docs.snowflake.net/manuals/sql-reference/functions/is_integer.html>`__,not supported,not supported,""
`IS_NULL_VALUE <https://docs.snowflake.net/manuals/sql-reference/functions/is_null_value.html>`__,not supported,not supported,""
`IS_OBJECT <https://docs.snowflake.net/manuals/sql-reference/functions/is_object.html>`__,not supported,not supported,""
`IS_REAL <https://docs.snowflake.net/manuals/sql-reference/functions/is_double-real.html>`__,not supported,not supported,""
`IS_TIME <https://docs.snowflake.net/manuals/sql-reference/functions/is_time.html>`__,not supported,not supported,""
`IS_TIMESTAMP_* <https://docs.snowflake.net/manuals/sql-reference/functions/is_timestamp.html>`__,not supported,not supported,""
`IS_VARCHAR <https://docs.snowflake.net/manuals/sql-reference/functions/is_char-varchar.html>`__,not supported,not supported,""
`KURTOSIS <https://docs.snowflake.net/manuals/sql-reference/functions/kurtosis.html>`__,not supported,not supported,""
`LAG <https://docs.snowflake.net/manuals/sql-reference/functions/lag.html>`__,`LAG <https://www.postgresql.org/docs/12/functions-window.html>`__,not supported,""
`LAST_DAY <https://docs.snowflake.net/manuals/sql-reference/functions/last_day.html>`__,not supported,not supported,""
`LAST_QUERY_ID <https://docs.snowflake.net/manuals/sql-reference/functions/last_query_id.html>`__,not supported,not supported,""
`LAST_TRANSACTION <https://docs.snowflake.net/manuals/sql-reference/functions/last_transaction.html>`__,not supported,not supported,""
`LAST_VALUE <https://docs.snowflake.net/manuals/sql-reference/functions/last_value.html>`__,`LAST_VALUE <https://www.postgresql.org/docs/12/functions-window.html>`__,not supported,""
`LEAD <https://docs.snowflake.net/manuals/sql-reference/functions/lead.html>`__,`LEAD <https://www.postgresql.org/docs/12/functions-window.html>`__,not supported,""
`LEAST <https://docs.snowflake.net/manuals/sql-reference/functions/least.html>`__,not supported,not supported,""
`LEFT <https://docs.snowflake.net/manuals/sql-reference/functions/left.html>`__,`LEFT <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`LENGTH <https://docs.snowflake.net/manuals/sql-reference/functions/length.html>`__,`LENGTH <https://www.postgresql.org/docs/12/functions-textsearch.html>`__,not supported,""
`LIKE <https://docs.snowflake.net/manuals/sql-reference/functions/like.html>`__,not supported,not supported,""
`LIKE ALL <https://docs.snowflake.net/manuals/sql-reference/functions/like_all.html>`__,not supported,not supported,""
`LIKE ANY <https://docs.snowflake.net/manuals/sql-reference/functions/like_any.html>`__,not supported,not supported,""
`LISTAGG <https://docs.snowflake.net/manuals/sql-reference/functions/listagg.html>`__,not supported,not supported,""
